date,Casual,Registered,Count
Jan 2005,331,654,985
Feb 2005,131,670,801
Mar 2005,120,1229,1349
Apr 2005,108,1454,1562
May 2005,82,1518,1600
Jun 2005,88,1518,1606
Jul 2005,148,1362,1510
Aug 2005,68,891,959
Sep 2005,54,768,822
Oct 2005,41,1280,1321
Nov 2005,43,1220,1263
Dec 2005,25,1137,1162
Jan 2006,38,1368,1406
Feb 2006,54,1367,1421
Mar 2006,222,1026,1248
Apr 2006,251,953,1204
May 2006,117,883,1000
Jun 2006,9,674,683
Jul 2006,78,1572,1650
Aug 2006,83,1844,1927
Sep 2006,75,1468,1543
Oct 2006,93,888,981
Nov 2006,150,836,986
Dec 2006,86,1330,1416
Jan 2007,186,1799,1985
Feb 2007,34,472,506
Mar 2007,15,416,431
Apr 2007,38,1129,1167
May 2007,123,975,1098
Jun 2007,140,956,1096
Jul 2007,42,1459,1501
Aug 2007,47,1313,1360
Sep 2007,72,1454,1526
Oct 2007,61,1489,1550
Nov 2007,88,1620,1708
Dec 2007,100,905,1005
Jan 2008,354,1269,1623
Feb 2008,120,1592,1712
Mar 2008,64,1466,1530
Apr 2008,53,1552,1605
May 2008,47,1491,1538
Jun 2008,149,1597,1746
Jul 2008,288,1184,1472
Aug 2008,397,1192,1589
Sep 2008,208,1705,1913
Oct 2008,140,1675,1815
Nov 2008,218,1897,2115
Dec 2008,259,2216,2475
Jan 2009,579,2348,2927
Feb 2009,532,1103,1635
Mar 2009,639,1173,1812
Apr 2009,195,912,1107
May 2009,74,1376,1450
Jun 2009,139,1778,1917
Jul 2009,100,1707,1807
Aug 2009,120,1341,1461
Sep 2009,424,1545,1969
Oct 2009,694,1708,2402
Nov 2009,81,1365,1446
Dec 2009,137,1714,1851
Jan 2010,231,1903,2134
Feb 2010,123,1562,1685
Mar 2010,214,1730,1944
Apr 2010,640,1437,2077
May 2010,114,491,605
Jun 2010,244,1628,1872
Jul 2010,316,1817,2133
Aug 2010,191,1700,1891
Sep 2010,46,577,623
Oct 2010,247,577,1977
Nov 2010,724,1408,2132
Dec 2010,982,1435,2417
Jan 2011,359,1687,2046
Feb 2011,289,1767,2056
Mar 2011,321,1871,2192
Apr 2011,424,2320,2744
May 2011,884,2355,3239
Jun 2011,1424,1693,3117
Jul 2011,1047,1424,2471
Aug 2011,401,1676,2077
Sep 2011,460,2243,2703
Oct 2011,203,1918,2121
Nov 2011,166,1699,1865
Dec 2011,300,1910,2210
Jan 2012,981,1515,2496
Feb 2012,472,1221,1693
Mar 2012,222,1806,2028
Apr 2012,317,2108,2425
May 2012,168,1368,1536
Jun 2012,179,1506,1685
Jul 2012,307,1920,2227
Aug 2012,898,1354,2252
Sep 2012,1651,1598,3249
Oct 2012,734,2381,3115
Nov 2012,167,1628,1795
Dec 2012,413,2395,2808
Jan 2013,571,2570,3141
Feb 2013,172,1299,1471
Mar 2013,879,1576,2455
Apr 2013,1188,1707,2895
May 2013,855,2493,3348
Jun 2013,257,1777,2034
Jul 2013,209,1953,2162
Aug 2013,529,2738,3267
Sep 2013,642,2484,3126
Oct 2013,121,674,795
Nov 2013,1558,2186,3744
Dec 2013,669,2760,3429
Jan 2014,409,2795,3204
Feb 2014,613,3331,3944
Mar 2014,745,3444,4189
Apr 2014,177,1506,1683
May 2014,1462,2574,4036
Jun 2014,1710,2481,4191
Jul 2014,773,3300,4073
Aug 2014,678,3722,4400
Sep 2014,547,3325,3872
Oct 2014,569,3489,4058
Nov 2014,878,3717,4595
Dec 2014,1965,3347,5312
Jan 2015,1138,2213,3351
Feb 2015,847,3554,4401
Mar 2015,603,3848,4451
Apr 2015,255,2378,2633
May 2015,614,3819,4433
Jun 2015,894,3714,4608